Datetime,District,Ward,Temperature,Consumption,Total,Ward2,Ward2_Temperature,Ward2_Consumption,Ward2_Total,Ward3,Ward3_Temperature,Ward3_Consumption,Ward3_Total,Ward4,Ward4_Temperature,Ward4_Consumption,Ward4_Total
01-01-2021,Chikmanglore,Koppa,35.25513451,221.6906021,331.2661732,sringeri,24.76,158.41,188.05,tarikere,23.68,116.79,153.22,nrpura,21.22978985,118.0297376,130.1674646
02-01-2021,Chikmanglore,Koppa,32.42590981,193.4133077,373.3339762,sringeri,42.27,102.86,129.21,tarikere,31.43,179.9,227.88,nrpura,22.62671196,170.1961558,245.1170288
03-01-2021,Chikmanglore,Koppa,31.02661876,212.0340517,283.8593343,sringeri,43.43,128.5,152.53,tarikere,26.82,106.16,146.32,nrpura,37.40290218,136.980429,181.7504409
04-01-2021,Chikmanglore,Koppa,32.54302467,212.5505795,275.8920526,sringeri,44.94,136.68,162.81,tarikere,42.21,104.93,135.1,nrpura,37.83503463,447.9080374,471.8594569
05-01-2021,Chikmanglore,Koppa,33.23956036,204.3701073,160.4031909,sringeri,30.53,115.06,157.5,tarikere,29.37,147.54,188.81,nrpura,26.42170637,418.6589203,466.1394675
06-01-2021,Chikmanglore,Koppa,33.45166408,210.406463,347.4797892,sringeri,40.55,162.3,197.47,tarikere,41.92,180.64,221.78,nrpura,25.02274265,334.5648185,337.0322308
07-01-2021,Chikmanglore,Koppa,32.28106583,191.7594962,371.9470984,sringeri,35.84,182.01,208.41,tarikere,44.24,131.41,172.14,nrpura,32.43991851,309.3863445,396.1214187
08-01-2021,Chikmanglore,Koppa,32.93960398,216.8822268,228.6879901,sringeri,21.68,136.75,185.7,tarikere,39.82,133.08,140.81,nrpura,23.08425523,396.5477171,480.625407
09-01-2021,Chikmanglore,Koppa,34.72201071,207.9745347,350.2119036,sringeri,26.9,148.11,187.59,tarikere,27.41,136.78,159.19,nrpura,28.49097561,122.4060518,208.3649061
10-01-2021,Chikmanglore,Koppa,34.37736902,207.7876321,313.7487407,sringeri,23.84,197.27,216.33,tarikere,26.95,169,217.15,nrpura,29.37156969,360.6647927,417.7157977
11-01-2021,Chikmanglore,Koppa,32.07122863,201.4514049,242.6119231,sringeri,41,119.57,167.69,tarikere,36.08,148.96,189.08,nrpura,32.37405058,269.7883678,321.3579893
12-01-2021,Chikmanglore,Koppa,31.488301,213.0783899,195.3250484,sringeri,34.29,144.85,178.04,tarikere,25.89,199.65,226.7,nrpura,43.09479395,244.596069,329.0980587
13-01-2021,Chikmanglore,Koppa,29.3450154,211.8229564,346.3587321,sringeri,30.66,196.78,200.59,tarikere,39.42,170.96,185.69,nrpura,34.43483521,210.03049,264.2614769
14-01-2021,Chikmanglore,Koppa,32.1073805,220.5542122,308.0806852,sringeri,33.67,174.42,175.96,tarikere,35.79,168.88,207.31,nrpura,44.1610538,120.5732696,178.7383106
15-01-2021,Chikmanglore,Koppa,33.74178578,194.960531,303.3217296,sringeri,24.64,114.15,131.25,tarikere,31.72,130.62,152.12,nrpura,22.41222014,304.7125277,347.5468509
16-01-2021,Chikmanglore,Koppa,33.08819923,178.8739107,200.5072214,sringeri,23.94,127.66,175.95,tarikere,35.85,100.18,126.66,nrpura,23.82126652,328.9599034,416.8818979
17-01-2021,Chikmanglore,Koppa,35.01736294,203.3727422,366.1228631,sringeri,23.76,186.58,200.31,tarikere,33.97,147.87,157.14,nrpura,44.8230607,421.2717192,479.9720591
18-01-2021,Chikmanglore,Koppa,33.3449298,208.070059,282.0989458,sringeri,27.46,137.78,171.75,tarikere,37.36,154.51,163.55,nrpura,38.97052441,473.7545879,559.8382185
19-01-2021,Chikmanglore,Koppa,35.34840676,209.4104742,297.094342,sringeri,32.59,120.17,126.81,tarikere,20.98,135.65,149.7,nrpura,29.53461707,314.5187696,342.691158
20-01-2021,Chikmanglore,Koppa,30.20797564,226.4901622,201.7986484,sringeri,37.32,174.49,196.52,tarikere,35.55,113.33,163.32,nrpura,25.82742189,238.2034521,255.7677044
21-01-2021,Chikmanglore,Koppa,33.9833846,195.9040382,342.4567108,sringeri,25.66,107.37,132.57,tarikere,31.28,137.33,180.89,nrpura,42.81122422,372.8094336,376.7513047
22-01-2021,Chikmanglore,Koppa,31.91027943,212.2761442,216.5307838,sringeri,32.34,116.76,132.7,tarikere,40.91,101.32,126.35,nrpura,34.65060618,356.8875324,449.1692023
23-01-2021,Chikmanglore,Koppa,32.24394312,220.9724553,302.5869394,sringeri,24.66,189.92,229.34,tarikere,22.93,132.67,139.08,nrpura,20.7094326,222.905025,296.1824911
24-01-2021,Chikmanglore,Koppa,32.35705694,215.8566768,303.3669779,sringeri,24.46,199.41,238.09,tarikere,36.38,159.08,168.78,nrpura,28.45229051,294.1594423,371.2755093
