Datetime,District,ward,Temperature,Consumption,Total,Season,Ward2,Ward2_Temperature,Ward2_Consumption,Ward2_Total,Ward3,Ward3_Temperature,Ward3_Consumption,Ward3_Total,Ward4,Ward4_Temperature,Ward4_Consumption,Ward4_Total,Ward5,Ward5_Temperature,Ward5_Consumption,Ward5_Total,Ward6,Ward6_Temperature,Ward6_Consumption,Ward6_Total
01-01-2021,Shivmogga,Thirthahalli,31.97390677,202.563938,205.6550546,Winter,Sagara,25.65610573,142.9335975,165.242663,Shikaripura,21.22978985,118.0297376,130.1674646,soraba,33.98,110.35,157.61,hosanagara,24.76,158.41,188.05,bhadravathi,23.68,116.79,81.90404441
02-01-2021,Shivmogga,Thirthahalli,31.47897747,214.4251112,217.2635437,Winter,Sagara,25.06636066,156.5727571,230.6908439,Shikaripura,22.62671196,170.1961558,245.1170288,soraba,21.84,172.92,211.68,hosanagara,42.27,102.86,129.21,bhadravathi,31.43,179.9,85.26872008
03-01-2021,Shivmogga,Thirthahalli,33.43060545,198.8181837,201.4236522,Winter,Sagara,26.62423663,231.7781383,319.4582263,Shikaripura,37.40290218,136.980429,181.7504409,soraba,35.54,178.05,218.3,hosanagara,43.43,128.5,152.53,bhadravathi,26.82,106.16,81.14511218
04-01-2021,Shivmogga,Thirthahalli,31.19430586,205.4754351,210.1237664,Winter,Sagara,38.87318168,316.0769966,408.2371248,Shikaripura,37.83503463,447.9080374,471.8594569,soraba,28.54,121.88,161.82,hosanagara,44.94,136.68,162.81,bhadravathi,42.21,104.93,115.8317768
05-01-2021,Shivmogga,Thirthahalli,34.06210833,201.5861283,204.5605925,Winter,Sagara,27.65300118,375.8185668,441.3737098,Shikaripura,26.42170637,418.6589203,466.1394675,soraba,38.17,131.19,171.15,hosanagara,30.53,115.06,157.5,bhadravathi,29.37,147.54,76.17413494
06-01-2021,Shivmogga,Thirthahalli,31.55753664,197.9558726,200.9254396,Winter,Sagara,38.93959716,483.9424822,566.5804871,Shikaripura,25.02274265,334.5648185,337.0322308,soraba,43.8,147.38,174.01,hosanagara,40.55,162.3,197.47,bhadravathi,41.92,180.64,107.6074961
07-01-2021,Shivmogga,Thirthahalli,32.53816628,231.5002217,233.7253544,Winter,Sagara,44.6238438,286.331093,354.5346347,Shikaripura,32.43991851,309.3863445,396.1214187,soraba,23.39,166.73,171.07,hosanagara,35.84,182.01,208.41,bhadravathi,44.24,131.41,133.8145202
08-01-2021,Shivmogga,Thirthahalli,35.59959349,198.2879656,198.5581626,Winter,Sagara,43.57728554,382.2376986,407.9873227,Shikaripura,23.08425523,396.5477171,480.625407,soraba,27.63,186.23,215.47,hosanagara,21.68,136.75,185.7,bhadravathi,39.82,133.08,134.4163768
09-01-2021,Shivmogga,Thirthahalli,33.45899181,204.0541351,207.9893478,Winter,Sagara,44.66857571,353.9871685,402.6653662,Shikaripura,28.49097561,122.4060518,208.3649061,soraba,33.52,148.1,187.81,hosanagara,26.9,148.11,187.59,bhadravathi,27.41,136.78,89.78518277
10-01-2021,Shivmogga,Thirthahalli,29.50728297,207.5323503,212.3746528,Winter,Sagara,44.91332954,302.0375391,327.9969878,Shikaripura,29.37156969,360.6647927,417.7157977,soraba,40.27,135.4,158.43,hosanagara,23.84,197.27,216.33,bhadravathi,26.95,169,102.8166499
11-01-2021,Shivmogga,Thirthahalli,33.1835045,199.0316654,203.6294905,Winter,Sagara,39.25264921,132.5366666,170.8419116,Shikaripura,32.37405058,269.7883678,321.3579893,soraba,40.55,131.06,149.12,hosanagara,41,119.57,167.69,bhadravathi,36.08,148.96,114.7333208
12-01-2021,Shivmogga,Thirthahalli,32.20359577,188.3767379,191.977521,Winter,Sagara,21.09887389,412.0903557,432.7809599,Shikaripura,43.09479395,244.596069,329.0980587,soraba,25.52,150.05,197.1,hosanagara,34.29,144.85,178.04,bhadravathi,25.89,199.65,65.09578535
13-01-2021,Shivmogga,Thirthahalli,33.61872916,212.5606286,216.6740025,Winter,Sagara,22.42010944,408.4637367,413.3358241,Shikaripura,34.43483521,210.03049,264.2614769,soraba,37.07,169.27,218.42,hosanagara,30.66,196.78,200.59,bhadravathi,39.42,170.96,84.32916045
14-01-2021,Shivmogga,Thirthahalli,30.90858281,191.4180593,193.8322007,Winter,Sagara,36.39085248,350.0392919,381.3353262,Shikaripura,44.1610538,120.5732696,178.7383106,soraba,29.24,179.95,219.16,hosanagara,33.67,174.42,175.96,bhadravathi,35.79,168.88,115.0286749
15-01-2021,Shivmogga,Thirthahalli,32.86366768,205.6962903,204.0261384,Winter,Sagara,23.4216956,325.3122538,390.5610018,Shikaripura,22.41222014,304.7125277,347.5468509,soraba,42.13,121.98,135.75,hosanagara,24.64,114.15,131.25,bhadravathi,31.72,130.62,55.80801589
16-01-2021,Shivmogga,Thirthahalli,33.28189903,207.5869238,209.5742915,Winter,Sagara,22.44703071,337.1787895,374.0330242,Shikaripura,23.82126652,328.9599034,416.8818979,soraba,33.69,190.22,232.82,hosanagara,23.94,127.66,175.95,bhadravathi,35.85,100.18,124.7506351
17-01-2021,Shivmogga,Thirthahalli,31.80837632,216.1563723,216.5146073,Winter,Sagara,43.69594399,131.9527166,163.8937008,Shikaripura,44.8230607,421.2717192,479.9720591,soraba,40.55,185.3,210.5,hosanagara,23.76,186.58,200.31,bhadravathi,33.97,147.87,115.9240154
18-01-2021,Shivmogga,Thirthahalli,31.02504155,208.7642222,212.1938991,Winter,Sagara,28.47051756,143.3770519,162.2385937,Shikaripura,38.97052441,473.7545879,559.8382185,soraba,38.6,102.97,152.02,hosanagara,27.46,137.78,171.75,bhadravathi,37.36,154.51,86.14407283
19-01-2021,Shivmogga,Thirthahalli,30.55680507,209.2336748,210.3050137,Winter,Sagara,27.18252573,309.3600591,324.8428208,Shikaripura,29.53461707,314.5187696,342.691158,soraba,35.95,112.92,122.47,hosanagara,32.59,120.17,126.81,bhadravathi,20.98,135.65,56.66625746
20-01-2021,Shivmogga,Thirthahalli,34.71268753,187.1162991,188.3279845,Winter,Sagara,41.99065347,454.7467308,466.5057136,Shikaripura,25.82742189,238.2034521,255.7677044,soraba,22.64,128.94,131.11,hosanagara,37.32,174.49,196.52,bhadravathi,35.55,113.33,68.28292739
21-01-2021,Shivmogga,Thirthahalli,34.2153304,193.6686868,191.9627479,Winter,Sagara,38.82154128,338.8635674,352.7389782,Shikaripura,42.81122422,372.8094336,376.7513047,soraba,44.44,179.11,202.76,hosanagara,25.66,107.37,132.57,bhadravathi,31.28,137.33,101.5055434
22-01-2021,Shivmogga,Thirthahalli,33.83406306,212.7933709,214.6590948,Winter,Sagara,23.6743193,138.7118609,232.9361165,Shikaripura,34.65060618,356.8875324,449.1692023,soraba,31.09,169.65,214.08,hosanagara,32.34,116.76,132.7,bhadravathi,40.91,101.32,126.1081138
23-01-2021,Shivmogga,Thirthahalli,33.58597078,188.2820263,190.6576331,Winter,Sagara,33.25581834,385.0349097,429.8887997,Shikaripura,20.7094326,222.905025,296.1824911,soraba,20.2,120.23,155.97,hosanagara,24.66,189.92,229.34,bhadravathi,22.93,132.67,135.6789003
24-01-2021,Shivmogga,Thirthahalli,32.9952504,211.0107112,213.5825079,Winter,Sagara,39.9875186,215.9578206,312.3197386,Shikaripura,28.45229051,294.1594423,371.2755093,soraba,27.3,145.57,172.13,hosanagara,24.46,199.41,238.09,bhadravathi,36.38,159.08,100.2497087
25-01-2021,Shivmogga,Thirthahalli,32.82001065,218.8756835,223.1293812,Winter,Sagara,30.39822228,481.7143574,516.7367616,Shikaripura,42.08690759,436.2908832,450.5969103,soraba,22.48,159.7,176.13,hosanagara,29.84,137.72,163.1,bhadravathi,41.89,109.62,101.622706
26-01-2021,Shivmogga,Thirthahalli,30.65192432,190.4543703,195.2607612,Winter,Sagara,30.95746395,319.4185825,387.6131617,Shikaripura,40.02003042,129.3440593,143.9053441,soraba,38.59,174.3,212.46,hosanagara,35.11,175.49,180.73,bhadravathi,42.62,178.41,99.54428022
27-01-2021,Shivmogga,Thirthahalli,31.05562424,200.8813824,205.1044109,Winter,Sagara,44.55390806,335.1002358,365.1472796,Shikaripura,37.22352486,456.1017729,528.9519388,soraba,33.56,101.76,123.26,hosanagara,28.9,111.32,116.2,bhadravathi,34.79,111.39,70.93384734
28-01-2021,Shivmogga,Thirthahalli,31.91180733,208.7182037,209.3229226,Winter,Sagara,36.73945446,275.3103562,302.0995646,Shikaripura,20.10432023,189.6904337,255.5052332,soraba,20.89,127.18,136.63,hosanagara,44.31,143.57,145.48,bhadravathi,22.77,126.07,112.9626013
29-01-2021,Shivmogga,Thirthahalli,34.97659167,220.6911563,224.8370441,Winter,Sagara,42.01674538,131.689625,141.3910136,Shikaripura,28.61913008,496.6350501,568.5045962,soraba,37.72,118.73,136.27,hosanagara,40.51,101,133.88,bhadravathi,30.91,139.83,110.9315036
30-01-2021,Shivmogga,Thirthahalli,32.43250309,204.6880514,206.8959934,Winter,Sagara,26.84464705,253.8097325,317.4997602,Shikaripura,21.94424348,213.5367348,292.9087365,soraba,33.22,146.38,160.26,hosanagara,26.19,182.09,221.29,bhadravathi,25.14,192.31,68.89433651
31-01-2021,Shivmogga,Thirthahalli,32.29669451,196.6215158,198.1469094,Winter,Sagara,26.55449965,333.9638233,402.9666456,Shikaripura,31.27996176,177.8831917,246.2353898,soraba,20.08,185.02,195.14,hosanagara,27.6,161.53,179.87,bhadravathi,31.23,126.31,158.5795958
01-02-2021,Shivmogga,Thirthahalli,30.74052878,201.3565091,205.2667851,Winter,Sagara,26.15641027,338.1394684,353.2439514,Shikaripura,35.11238835,313.4519128,336.6969316,soraba,42.45,110.42,146.19,hosanagara,33.69,160.87,186.85,bhadravathi,33.09,150.57,132.6754657
02-02-2021,Shivmogga,Thirthahalli,33.80231624,215.807742,216.9274803,Winter,Sagara,35.51124909,202.1107252,284.4259176,Shikaripura,33.96081306,243.9121012,260.4183444,soraba,28.76,186.85,199.35,hosanagara,29.65,179.22,219.57,bhadravathi,32.5,118.15,130.7076533
03-02-2021,Shivmogga,Thirthahalli,34.48558183,203.7555,206.0943762,Winter,Sagara,41.43941069,146.1861182,193.2421344,Shikaripura,36.60608226,301.4072954,366.6467434,soraba,36.97,148.51,196.08,hosanagara,28.25,109.43,150.42,bhadravathi,26.65,179.33,118.402042
04-02-2021,Shivmogga,Thirthahalli,31.48646482,221.5476942,222.5622106,Winter,Sagara,32.47561059,280.7255178,364.2812753,Shikaripura,23.18640598,343.006055,367.7572509,soraba,22.64,185.4,190.68,hosanagara,37.27,191.76,204.28,bhadravathi,41.08,145.06,89.0393464
05-02-2021,Shivmogga,Thirthahalli,32.78439225,194.7686303,198.7319359,Winter,Sagara,21.9694268,195.1720944,268.27796,Shikaripura,26.87376013,399.2548609,439.9278992,soraba,22.29,190.63,193.1,hosanagara,33.59,167.7,183.94,bhadravathi,32.55,186.68,103.0535447
